Full URL,Page Type,JCR Path,Page Slug,Migration Status,Content Status,Taxonomy Status,Package,Tags Applied (count),Tags Applied (details),Hero Image,Blocker/Notes
https://www.marketscan.com/blog/building-dealer-profitability-through-pricing-transparency/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/building-dealer-profitability-through-pricing-transparency,building-dealer-profitability-through-pricing-transparency,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (9 tags),new-pages-content.zip,9,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/pricing-trends | theme: mobility-global:insights-and-intelligence/theme/automotive-consumer-trends | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | contentFormat: mobility-global:system-and-structural-tags/content-formats/written-formats/short-form-article,https://web.archive.org/web/20260314203004im_/https://www.marketscan.com/wp-content/uploads/2024/03/GettyImages-1092018186_Large.png,
https://www.marketscan.com/blog/data-analytics/driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/data-analytics/driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives,driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (11 tags),new-pages-content.zip,11,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/pricing-trends | theme: mobility-global:insights-and-intelligence/theme/automotive-consumer-trends | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-oems | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/oem-strategist ...,https://web.archive.org/web/20260207185524im_/https://www.marketscan.com/wp-content/uploads/2024/03/Rebate-and-incentives.png,
https://www.marketscan.com/blog/easy-onboarding-of-dealership-tool-brings-endless-opportunities/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/easy-onboarding-of-dealership-tool-brings-endless-opportunities,easy-onboarding-of-dealership-tool-brings-endless-opportunities,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (8 tags),new-pages-content.zip,8,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | theme: mobility-global:insights-and-intelligence/theme/automotive-consumer-trends | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | contentFormat: mobility-global:system-and-structural-tags/content-formats/written-formats/short-form-article,https://web.archive.org/web/20260114011354im_/https://www.marketscan.com/wp-content/uploads/2024/08/Large_GettyImages-1454460595.png,
https://www.marketscan.com/blog/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory,hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (9 tags),new-pages-content.zip,9,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/pricing-trends | theme: mobility-global:insights-and-intelligence/theme/automotive-consumer-trends | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | contentFormat: mobility-global:system-and-structural-tags/content-formats/written-formats/short-form-article,https://web.archive.org/web/20260314194740im_/https://www.marketscan.com/wp-content/uploads/2024/09/MS_blog.jpg,
https://www.marketscan.com/blog/how-lenders-can-sell-down-2024-models-in-a-buyers-market/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/how-lenders-can-sell-down-2024-models-in-a-buyers-market,how-lenders-can-sell-down-2024-models-in-a-buyers-market,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (10 tags),new-pages-content.zip,10,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/pricing-trends | theme: mobility-global:insights-and-intelligence/theme/automotive-consumer-trends | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/fleet-and-commercial-roles/leasing-or-financial-services | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | contentFormat: mobility-global:system-and-structural-tags/content-formats/written-formats/short-form-article,https://web.archive.org/web/20251109191650im_/https://www.marketscan.com/wp-content/uploads/2024/11/MarketScan-Blog-BI3-1.jpg,
https://www.marketscan.com/blog/incentive-spending-in-a-changing-industry-with-scott-cauvel/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/incentive-spending-in-a-changing-industry-with-scott-cauvel,incentive-spending-in-a-changing-industry-with-scott-cauvel,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (11 tags),new-pages-content.zip,11,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/pricing-trends | theme: mobility-global:insights-and-intelligence/topic/industry-benchmarks/automotive-industry-forecast-and-analysis | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-oems | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/oem-strategist ...,https://web.archive.org/web/20260207201258im_/https://www.marketscan.com/wp-content/uploads/2024/06/Marketscan_QampA_Blog.jpg,
https://www.marketscan.com/blog/incentive-strategy-best-informed-by-one-data-source/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/incentive-strategy-best-informed-by-one-data-source,incentive-strategy-best-informed-by-one-data-source,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (14 tags),new-pages-content.zip,14,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/pricing-trends | theme: mobility-global:insights-and-intelligence/topic/industry-benchmarks/automotive-industry-forecast-and-analysis | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-oems | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/oem-strategist ...,https://web.archive.org/web/20260314195829im_/https://www.marketscan.com/wp-content/uploads/2024/04/GettyImages-185291824_Large.png,
https://www.marketscan.com/blog/keeping-dealerships-strong-amidst-auto-industry-tariffs/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/keeping-dealerships-strong-amidst-auto-industry-tariffs,keeping-dealerships-strong-amidst-auto-industry-tariffs,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (13 tags),new-pages-content.zip,13,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | theme: mobility-global:insights-and-intelligence/theme/automotive-consumer-trends | theme: mobility-global:insights-and-intelligence/theme/automotive-tariffs | regulatoryContext: mobility-global:contextual-variables/regulatory-and-operating-context/regulatory-context/policy | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | contentFormat: mobility-global:system-and-structural-tags/content-formats/written-formats/short-form-article ...,https://web.archive.org/web/20260207205224im_/https://www.marketscan.com/wp-content/uploads/2025/04/MarketScan_Tariffs-LinkedIn-2-2.jpg,
https://www.marketscan.com/blog/leasing-effective-tool-address-customer-affordability-concerns/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/leasing-effective-tool-address-customer-affordability-concerns,leasing-effective-tool-address-customer-affordability-concerns,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (14 tags),new-pages-content.zip,14,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/pricing-trends | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/consumer-behavior-insights | theme: mobility-global:insights-and-intelligence/theme/automotive-consumer-trends | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/fleet-and-commercial-roles/leasing-or-financial-services ...,https://web.archive.org/web/20251213202135im_/https://www.marketscan.com/wp-content/uploads/2024/04/leasing-effective-tool-address-customer-affordability-concerns-2.jpg,
https://www.marketscan.com/blog/nada-show-2025-recap-helping-dealers-accelerate-their-sales/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/nada-show-2025-recap-helping-dealers-accelerate-their-sales,nada-show-2025-recap-helping-dealers-accelerate-their-sales,NEW PAGE - FULL CONTENT,Full article body migrated,APPLIED (11 tags),new-pages-content.zip,11,pillars: mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/events-and-webinars | insightsThoughtLeaderContentType: mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | topic: mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends | theme: mobility-global:insights-and-intelligence/theme/automotive-consumer-trends | industrySector: mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers | audienceRole: mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer | contentFormat: mobility-global:system-and-structural-tags/content-formats/written-formats/short-form-article | brandDataSource: mobility-global:system-and-structural-tags/brand-or-data-source/market-scan | marketRegion: mobility-global:contextual-variables/market-context/market-sales-region/north-america ...,https://web.archive.org/web/20260114012351im_/https://www.marketscan.com/wp-content/uploads/2025/01/processed-9DB6DD2A-671F-4A66-AA96-788ECC4B96E0.jpeg,
